,A,B,C,Full Name,First Names,Last Name,email
2000-01-03,-0.12675235266940094,0.8408167991868807,-0.2880863186968865,Jessica Moore,Jessica,Moore,Jessica.Moore@polimi.it
2000-01-10,0.6076673593123398,0.1350116859647596,0.427605674897048,Michael Gonzalez,Michael,Gonzalez,Michael.Gonzalez@polimi.it
2000-01-17,-0.5281808602953774,-0.15057449010548718,-0.9801707136529952,Meghan Powell,Meghan,Powell,Meghan.Powell@polimi.it
2000-01-24,-1.1462778452342823,-0.7493904019069215,-0.34740705417139955,Shelby Hickman,Shelby,Hickman,Shelby.Hickman@polimi.it
2000-01-31,0.7327098127971793,-1.571772636614553,-0.49127944881157287,Richard Marshall,Richard,Marshall,Richard.Marshall@polimi.it
2000-02-07,-0.5290511315671381,0.6009858754880704,-0.6142795115610985,Christopher Jenkins,Christopher,Jenkins,Christopher.Jenkins@polimi.it
2000-02-14,0.5893897781913141,-1.2061852407065459,-0.3030991315165418,Julia Lopez,Julia,Lopez,Julia.Lopez@polimi.it
2000-02-21,1.6538697163254923,-0.23927870798259904,-0.4990648678954674,Briana Sanchez,Briana,Sanchez,Briana.Sanchez@polimi.it
2000-02-28,0.3317126500739756,-0.3189048302853754,0.5775622496166989,Jane Nelson,Jane,Nelson,Jane.Nelson@polimi.it
2000-03-06,2.697998651349763,0.028074136081658582,-0.8827076573975681,James Williams,James,Williams,James.Williams@polimi.it
